,AAPL,NKE,GOOGL,AMZN
2005-01-03 00:00:00,0.9633844494819641,9.136415481567383,5.0728230476379395,2.2260000705718994
2005-01-04 00:00:00,0.9732785224914551,9.006457328796387,4.867366790771484,2.1070001125335693
2005-01-05 00:00:00,0.9818028807640076,8.898662567138672,4.842593193054199,2.0885000228881836
2005-01-06 00:00:00,0.9825640916824341,8.887577056884766,4.718468189239502,2.052500009536743
2005-01-07 00:00:00,1.0541057586669922,8.83519172668457,4.851100921630859,2.115999937057495
2005-01-10 00:00:00,1.0496917963027954,8.922837257385254,4.881381034851074,2.0920000076293945
2005-01-11 00:00:00,0.9827161431312561,8.88052749633789,4.8433427810668945,2.0820000171661377
2005-01-12 00:00:00,0.9964160323143005,8.924857139587402,4.8893890380859375,2.115000009536743
2005-01-13 00:00:00,1.062477946281433,8.867430686950684,4.8881378173828125,2.130000114440918
2005-01-14 00:00:00,1.0685666799545288,8.961121559143066,5.00425386428833,2.2274999618530273
2005-01-18 00:00:00,1.0754163265228271,8.935935974121094,5.102602958679199,2.2290000915527344
2005-01-19 00:00:00,1.0636959075927734,8.92082405090332,4.937437057495117,2.197999954223633
2005-01-20 00:00:00,1.072523832321167,8.744522094726562,4.852852821350098,2.118000030517578
2005-01-21 00:00:00,1.0729808807373047,8.694154739379883,4.711711883544922,2.058000087738037
2005-01-24 00:00:00,1.0770906209945679,8.695157051086426,4.522522926330566,2.0190000534057617
2005-01-25 00:00:00,1.0967270135879517,8.652847290039062,4.432432174682617,2.046999931335449
2005-01-26 00:00:00,1.0997718572616577,8.57829475402832,4.735735893249512,2.066999912261963
2005-01-27 00:00:00,1.105708122253418,8.709261894226074,4.706707000732422,2.115499973297119
2005-01-28 00:00:00,1.1261048316955566,8.713292121887207,4.76326322555542,2.1110000610351562
2005-01-31 00:00:00,1.1705522537231445,8.727396965026855,4.895394802093506,2.1610000133514404
2005-02-01 00:00:00,1.1801419258117676,8.771720886230469,4.80230188369751,2.124000072479248
2005-02-02 00:00:00,1.2121076583862305,8.734452247619629,5.154153823852539,2.0940001010894775
2005-02-03 00:00:00,1.184403657913208,8.724376678466797,5.2767767906188965,1.787500023841858
2005-02-04 00:00:00,1.2000821828842163,8.768704414367676,5.114113807678223,1.7860000133514404
2005-02-07 00:00:00,1.2016046047210693,8.684077262878418,4.905655860900879,1.784500002861023
2005-02-08 00:00:00,1.2314393520355225,8.457406997680664,4.97097110748291,1.815000057220459
2005-02-09 00:00:00,1.1985596418380737,8.387892723083496,4.7942938804626465,1.7944999933242798
2005-02-10 00:00:00,1.1927765607833862,8.458413124084473,4.704204082489014,1.7890000343322754
2005-02-11 00:00:00,1.2361582517623901,8.527922630310059,4.689690113067627,1.7890000343322754
2005-02-14 00:00:00,1.2882163524627686,8.584341049194336,4.829579830169678,1.8014999628067017
2005-02-15 00:00:00,1.3457549810409546,8.592401504516602,4.885635852813721,1.8070000410079956
2005-02-16 00:00:00,1.3719360828399658,8.606507301330566,4.96521520614624,1.7829999923706055
2005-02-17 00:00:00,1.3366224765777588,8.583333015441895,4.952452182769775,1.784500002861023
2005-02-18 00:00:00,1.3214002847671509,8.614564895629883,4.953703880310059,1.7654999494552612
2005-02-22 00:00:00,1.2982633113861084,8.45236587524414,4.789039134979248,1.7359999418258667
2005-02-23 00:00:00,1.343015432357788,8.553112983703613,4.853603839874268,1.7070000171661377
2005-02-24 00:00:00,1.353670358657837,8.714302062988281,4.7269768714904785,1.7345000505447388
2005-02-25 00:00:00,1.3545833826065063,8.789860725402832,4.651401042938232,1.749500036239624
2005-02-28 00:00:00,1.3656957149505615,8.759632110595703,4.704453945159912,1.7589999437332153
2005-03-01 00:00:00,1.3547357320785522,8.845270156860352,4.656156063079834,1.7695000171661377
2005-03-02 00:00:00,1.3431668281555176,8.795902252197266,4.634133815765381,1.774999976158142
2005-03-03 00:00:00,1.2722339630126953,8.789860725402832,4.679930210113525,1.7825000286102295
2005-03-04 00:00:00,1.3032866716384888,8.825119972229004,4.652152061462402,1.7925000190734863
2005-03-07 00:00:00,1.3014596700668335,8.782805442810059,4.724975109100342,1.815999984741211
2005-03-08 00:00:00,1.2338749170303345,8.714302062988281,4.634634971618652,1.7914999723434448
2005-03-09 00:00:00,1.1979515552520752,8.691128730773926,4.538288116455078,1.7699999809265137
2005-03-10 00:00:00,1.2125645875930786,8.746112823486328,4.504004001617432,1.7454999685287476
2005-03-11 00:00:00,1.2259591817855835,8.73703670501709,4.449449062347412,1.7374999523162842
2005-03-14 00:00:00,1.2274818420410156,8.652290344238281,4.379128932952881,1.7300000190734863
2005-03-15 00:00:00,1.2469654083251953,8.792524337768555,4.469719886779785,1.7089999914169312
2005-03-16 00:00:00,1.2536625862121582,8.720891952514648,4.3943939208984375,1.69350004196167
2005-03-17 00:00:00,1.2862380743026733,8.76024341583252,4.48673677444458,1.6985000371932983
2005-03-18 00:00:00,1.3078529834747314,8.61596393585205,4.5055060386657715,1.7079999446868896
2005-03-21 00:00:00,1.3303805589675903,8.464632034301758,4.526526927947998,1.683500051498413
2005-03-22 00:00:00,1.3038948774337769,8.327421188354492,4.46946907043457,1.6575000286102295
2005-03-23 00:00:00,1.2953705787658691,8.216442108154297,4.478979110717773,1.659000039100647
2005-03-24 00:00:00,1.2938483953475952,8.436379432678223,4.485735893249512,1.6440000534057617
2005-03-28 00:00:00,1.2947624921798706,8.39603042602539,4.540040016174316,1.6694999933242798
2005-03-29 00:00:00,1.2710156440734863,8.239646911621094,4.493743896484375,1.6714999675750732
